Id,Nombre,Name
2136,Bacaladilla,Whiting
745,"Bacalao, ahumado","Cod, smoked"
2302,"Bacalao, crudo","Cod, raw"
795,"Bacalao, fresco, al horno","Cod, fresh, baked"
2304,"Bacalao, frito","Codfish, fried"
1163,"Bacalao, salado, crudo","Cod, salted, raw"
797,"Bacalao, salado, remojado, crudo","Cod, salted, steeped, raw"
680,"Bacón, ahumado, a la parrilla","Bacon, smoked, grilled"
682,"Bacon, crudo, con grasa separable","Bacon, raw, with separable fat"
2369,"Bambú, crudo","Bamboo, raw"
766,"Barra chocolate, tipo ""bounty""","Chocolate bar, type ""bounty"""
770,"Barra de chocolate, tipo ""Kit-kat""","Chocolate bar, type ""kit kat"""
769,"Barra de chocolate, tipo ""Mars""","Chocolate bar, type ""mars"""
2662,Barrita cereales con chocolate,"Cereal bar, with chocolate"
2663,Barrita cereales con frutas,"Cereal bar, with fruit"
767,Barrita cereales maíz y trigo,"Cereal bar, with corn and wheat"
768,Barrita cereales trigo y chocolate,"Cereal bar, with wheat and chocolate"
2480,Batido de chocolate,"Milk shake, chocolate"
2481,Batido de fresa,"Milk shake, strawberry"
2482,Batido de soja,Soya shake
2519,Batido fermentado de soja,Soy yogurt
683,"Batido lácteo de cacao, bajo en calorías","Milk shake, cacao, light"
685,"Batido lácteo, de fresa, bajo en calorías","Milk shake, strawberry, light"
2491,Bebida de soja,Soya drink
2429,Bebida energética,Energy drink
2430,Bebida isotónica,Sport drink
2306,Berberechos,Cockles
2307,Berberechos en conserva,"Cockles, canned "
2370,Berenjena,Aubergine
730,"Berenjena, frita, en aceite de girasol","Aubergine, fried, in sunflowerseed oil"
732,"Berro, crudo","Watercress, raw"
2312,Besugo,Sea bream
798,"Bígaro, hervido","Periwinkle, boiled"
2664,Bizcocho,Sponge cake
2476,Bocadillo,Sandwich
2313,Bogavante,Clawed lobster
799,"Bogavante, hervido","Lobster, boiled"
2665,"Bollería, genérico",Bakery
2647,Bombón,Chocolate
731,"Boniato, crudo","Sweet potato, raw"
800,"Bonito del norte, al vapor","Albacore, steamed"
801,"Bonito del norte, enlatado en aceite de soja","Albacore, canned, soybean oil"
2314,Bonito en aceite vegetal,Albacore in vegetable oil
802,"Bonito, enlatado en aceite, escurrido","Albacore, canned in oil, drained"
2316,Boquerón,Anchovy
2318,"Boquerón, frito","Anchovy, fried"
2371,Borraja,Borage
803,"Breca, cruda","Pandora, raw"
1177,"Brécol, crudo","Broccoli, raw"
2372,"Brécol, hervido","Broccoli, boiled"
2254,Butifarra,Butifarra sausage
